Column1,sentence,new_word,Tokenizer,Label,correct
0,موضوع الإشاعة بتاعة ده لازم يتجاب سليم وحتة واحدة كدة بكل ديوله ومين إلي وراه عشان ما يتكرش تاني ما ينفعش يعدي,وحتة,"['وحت', '##ة']",1,"{'وحتة': ['حتة', 'وحة', 'وحت', 'وتة', 'وحتل', 'وحتش', 'وستة', 'وحشة', 'وشتة', 'وحوة', 'لحتة']}"
1,كنت قاعد بتكلم انا وبابا فمره فحوار اني علي طول برا فقالي يبني احنا لينا حق فيك مش عليك فالاول قعد اتريق بس لما قعد افكر فهمت انهم كل حاجه,فمره,"['فمر', '##ه']",1,"{'فمره': ['مره', 'عمره', 'خمره', 'فكره']}"
2,كنت قاعد بتكلم انا وبابا فمره فحوار اني علي طول برا فقالي يبني احنا لينا حق فيك مش عليك فالاول قعد اتريق بس لما قعد افكر فهمت انهم كل حاجه,فحوار,"['فح', '##وار']",1,"{'فحوار': ['وار', 'حوا', 'فتحوا', 'فار', 'حار', 'فوا', 'فور', 'طوار', 'سوار', 'فلور', 'وحوا', 'فطور', 'حواج', 'ضحوا', 'كوار', 'حوال', 'بحوا', 'احوا', 'دوار', 'فواص', 'حضار', 'لحوا', 'شوار', 'فخار', 'جحوا', 'فظوا', 'فكار', 'فسار', 'فخور', 'تحوا', 'صوار', 'محار', 'فوائ', 'محوا', 'نوار', 'فوات', 'حرار', 'قوار', 'حواد', 'لحار', 'فواك', 'فطار', 'فلوا', 'لحضار', 'لكوار', 'لحواج', 'لحواد', 'لحرار', 'انوار', 'بحوال', 'سشوار', 'يشوار', 'لدوار', 'لشوار', 'فيشار', 'مشوار', 'لقوار', 'لحوال', 'لطوار', 'كسوار']}"
3,اول مرة اطلب قهوة في قهوة فقالي سادة قولتلة ماشي وانا معرفش يعني اية سادا ولما جتلي روحتله تاني قولتلة مكن تحطلي سكر,فقالي,"['فقال', '##ي']",1,"{'فقالي': ['قالي', 'فهالي', 'فعالي', 'تقالي', 'بقالي']}"
4,لحد البيت بتاعنا اتهد,اتهد,"['اته', '##د']",1,"{'اتهد': ['اتد', 'اهد', 'تهد', 'اتبهد', 'اته', 'اتند', 'اتهم', 'اتها', 'اتقد', 'اتخد', 'اتحد', 'اتمد', 'اتغد', 'الهد', 'جتهد', 'اترد']}"
5,ماتديش أي حد حاجه,ماتديش,"['ماتد', '##يش']",1,{}
6,ال انا مافرقش معاهم هما برده مايفرقوش معايا,مافرقش,"['مافر', '##قش']",1,"{'مافرقش': ['مفرش', 'مافبش', 'مافيش', 'مفروش', 'ماتردش', 'ماقرتش', 'مافهمش']}"
7,مفيش زكرا هترجعني,زكرا,"['زك', '##را']",1,"{'زكرا': ['زرا', 'كرا', 'سكرا', 'وكرا', 'زورا', 'لكرا', 'شكرا', 'بكرا']}"
8,تفسح شويه فى المجلس,تفسح,"['تفس', '##ح']",1,{}
9,ياخراشي ع مروتى وجمالها وطيبة قلبها محبتش تزعلنى بعتلي روشتة مصالحة زالفل يخليكى ليا ومتحرمش منك يا جميله ويسعد قلبك ويفرحك زى مافرحتيني,مروتى,"['مرو', '##تى']",1,"{'مروتى': ['متى', 'مرو', 'مرت', 'موت', 'روت', 'مرتب', 'وروت', 'مرسى', 'كروت', 'مكوت', 'مرتي', 'مرور', 'فروت', 'موته', 'مرات', 'مرتف', 'مروا', 'رورى', 'روتا', 'موسى', 'موتو', 'مرتا', 'موتن', 'موتي', 'مستوى', 'مرواح', 'مكوتش', 'مراتك', 'مراتي', 'ضرورى', 'وروتا']}"
10,ياخراشي ع مروتى وجمالها وطيبة قلبها محبتش تزعلنى بعتلي روشتة مصالحة زالفل يخليكى ليا ومتحرمش منك يا جميله ويسعد قلبك ويفرحك زى مافرحتيني,زالفل,"['زال', '##فل']",1,"{'زالفل': ['الفل', 'بالفل']}"
11,ياخراشي ع مروتى وجمالها وطيبة قلبها محبتش تزعلنى بعتلي روشتة مصالحة زالفل يخليكى ليا ومتحرمش منك يا جميله ويسعد قلبك ويفرحك زى مافرحتيني,مافرحتيني,"['مافر', '##حتين', '##ي']",1,{'مافرحتيني': ['مارتيني']}
12,مايستهلش اديته كل حاجه وفي الاخر راح فين,مايستهلش,"['مايست', '##هل', '##ش']",1,{'مايستهلش': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
13,لو مش هتندم مش هتعلم ومش هتعوف انك غلط وان فين الصح وكده,هتعوف,"['هتع', '##وف']",1,{'هتعوف': ['هتشوف']}
14,اسكت بقا قولت النهار هيبان مبانشي قولت الامل هيكون مكانش يبقي تخرس وتخوش ع اوضتك,هيبان,"['هيب', '##ان']",1,"{'هيبان': ['يبان', 'ليبان', 'كيبان']}"
15,اسكت بقا قولت النهار هيبان مبانشي قولت الامل هيكون مكانش يبقي تخرس وتخوش ع اوضتك,مبانشي,"['مبا', '##نشي']",1,{'مبانشي': ['مباني']}
16,مانتوا لسة واخدين اضاضا لو عايز تاخد تانى استنى الدورى الجديد بقى وهتبسط أوى احبيب قلبى,وهتبسط,"['وهت', '##بسط']",1,"{'وهتبسط': ['تبسط', 'اتبسط', 'وانبسط']}"
17,مسمهاش حظ يا جهلة اسمها روح وعزيمة واصرار ع الفوز بس هنقول ايه معذورين متعرفوش عنها حاجة,مسمهاش,"['مسم', '##هاش']",1,"{'مسمهاش': ['سمها', 'مستاش', 'اسمها', 'ملهاش', 'مفهاش', 'قسمها', 'متماش', 'إسمها', 'مالهاش']}"
18,الزمالكاوبه ملهم عمالين يقولولك غور ارحل اتنيل لاجل مايمون عند اهلك دم لكن هنقول ابه جبله,الزمالكاوبه,"['الزمالك', '##اوب', '##ه']",1,{'الزمالكاوبه': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
19,الزمالكاوبه ملهم عمالين يقولولك غور ارحل اتنيل لاجل مايمون عند اهلك دم لكن هنقول ابه جبله,مايمون,"['مايم', '##ون']",1,"{'مايمون': ['مايون', 'مايكون']}"
