Column1,sentence,new_word,Tokenizer,Label,correct
0,وحياه ربنا خايفه منك اكتير,اكتير,"['اكت', '##ير']",1,"{'اكتير': ['كتير', 'اتير', 'الكتير', 'اكتر', 'بكتير', 'اكجير', 'لكتير']}"
1,إتعلموا ثقافة السكوت يا جماعة إتعلموا تسكتوا لما تبقوا عارفين إن الكلام يا مالوش لازمة يا هيجيب مشاكل,تسكتوا,"['تسكت', '##وا']",1,"{'تسكتوا': ['تستا', 'ستوا', 'تستو', 'تستنا', 'تسعتا', 'استوا', 'سكتنا', 'تستور', 'تبعتوا', 'تسرقوا']}"
2,زيك الرجاله هتنقرض,هتنقرض,"['هتن', '##قر', '##ض']",1,{'هتنقرض': ['هنعرض']}
3,أنا هتعود و انتا كمان لازم تعود,هتعود,"['هتع', '##ود']",1,"{'هتعود': ['تعود', 'هتعد', 'متعود', 'اتعود']}"
4,دا من وجهة نظر الى بيتاسف بس,بيتاسف,"['بيتا', '##سف']",1,"{'بيتاسف': ['بيتس', 'بيتحس', 'بيلاف', 'بيتسم', 'باتأسف', 'بيتحسب']}"
5,بس الطرف التانى مش بيفهمها كده ابدا,بيفهمها,"['بيفهم', '##ها']",1,{'بيفهمها': ['بيفهموا']}
6,أنتا بقيت فعالم وانا دلوقتي فعالم تاني أحنا الي خلقنا المسفات الكبيره دي بس عارف في عالم تالت فخيالي بيجمعني بيك كل ما بحس اني محتجلك,فعالم,"['فعال', '##م']",1,"{'فعالم': ['فعال', 'فالم', 'عالم', 'لعالم', 'فعالي', 'معالم']}"
7,أنتا بقيت فعالم وانا دلوقتي فعالم تاني أحنا الي خلقنا المسفات الكبيره دي بس عارف في عالم تالت فخيالي بيجمعني بيك كل ما بحس اني محتجلك,فخيالي,"['فخ', '##يال', '##ي']",1,{'فخيالي': ['خيالي']}
8,أنتا بقيت فعالم وانا دلوقتي فعالم تاني أحنا الي خلقنا المسفات الكبيره دي بس عارف في عالم تالت فخيالي بيجمعني بيك كل ما بحس اني محتجلك,بيجمعني,"['بيجمع', '##ني']",1,"{'بيجمعني': ['بيجمع', 'بيعني']}"
9,أنتا بقيت فعالم وانا دلوقتي فعالم تاني أحنا الي خلقنا المسفات الكبيره دي بس عارف في عالم تالت فخيالي بيجمعني بيك كل ما بحس اني محتجلك,محتجلك,"['محتج', '##لك']",1,"{'محتجلك': ['محتاجل', 'محلك', 'محتاجله', 'منتجك', 'مستهلك']}"
10,قال صحيح هديك تشكيلتك,تشكيلتك,"['تشكيل', '##تك']",1,"{'تشكيلتك': ['تشكيل', 'تشكيت', 'تشكيلة']}"
11,انت شايف كلامه ياسطا ترضاهالى,ترضاهالى,"['ترضاها', '##لى']",1,{'ترضاهالى': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
12,بيعجبنى الناس الى تيجى تقولك حلو البس ده حلوة ريحة ال دى لما يشوفك يقولك وحشتنى لو شاف صورة ليك أو قرالك يكتب يفرحك,بيعجبنى,"['بيع', '##جب', '##نى']",1,{'بيعجبنى': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
13,بيعجبنى الناس الى تيجى تقولك حلو البس ده حلوة ريحة ال دى لما يشوفك يقولك وحشتنى لو شاف صورة ليك أو قرالك يكتب يفرحك,قرالك,"['قرا', '##لك']",1,"{'قرالك': ['قالك', 'قرارك']}"
14,بس لاسف النوع دا من الناس بقي قليل فحياتنا معظمهم بيحبو نفسهم وبس ومليانين حقد علي غيره علي حسد وكره الخير لغيرحتي احنا اتغيرنا كلنا زفت,لاسف,"['لاس', '##ف']",1,{}
15,مش هيهمه انت صاحى ولانايم,ولانايم,"['ولان', '##ايم']",1,{'ولانايم': ['ولانا']}
16,عاوز شقه لبيع داخل كوم حمادة تشطيب او من غير تشطيب بعد ازنك مكن تنشر الطلب دا,ازنك,"['ازن', '##ك']",1,"{'ازنك': ['انك', 'ازن', 'ازك', 'ازاك', 'اهنك', 'ازيك', 'ابنك', 'ازمك', 'اونك', 'امنك']}"
17,ادي الي انتي كتير سبتيه خلاص سابك,سبتيه,"['سبت', '##يه']",1,{'سبتيه': ['سبته']}
18,ادي اخرت الي ينزل تدريب مع عمه متدربوش مع حد تعرفوه غيبوا براحتكوا ناموا براحتكوا,متدربوش,"['متدرب', '##وش']",1,{'متدربوش': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
19,و لا اكونش انا الي رسمت حدود مصر البحرية مع قبرص و اليونان و ضيعت حقول الغاز,اكونش,"['اكون', '##ش']",1,"{'اكونش': ['كونش', 'اتكونش', 'اكون', 'ايكونش', 'اكوش', 'اكنش', 'اكوني', 'يكونش', 'تكونش', 'اكونو', 'اكانش', 'اكنوش', 'اكونة']}"
20,اديني فرخة اديك فتوى,فرخة,"['فرخ', '##ة']",1,"{'فرخة': ['فرة', 'فرصة', 'فرجة', 'فرقة', 'فردة']}"
21,لاشوفت بعدك اي حب,لاشوفت,"['لاش', '##وفت']",1,"{'لاشوفت': ['لوفت', 'شوفت', 'اشوف', 'لاشت', 'لاوت', 'اشفت', 'اشوفك', 'هاشوف', 'ماشفت', 'اشوفة', 'اشوفه', 'مشوفت', 'لاصوات']}"
22,ولالاقي من حدالرضى,ولالاقي,"['ولالا', '##قي']",1,"{'ولالاقي': ['لالقي', 'والباقي', 'وتلالقي', 'الاقي', 'تلالقي', 'حالاقي', 'ونلاقي', 'وهتلاقي', 'وحتلاقي']}"
